genus,Species,decimalLongitude,decimalLatitude,country,continent,ecoregion,realm
Afrius,Afrius flavirostrum,48.45,-13.66,Madagascar,Africa,Madagascar subhumid forests,Afrotropic
Afrius,Afrius flavirostrum,49.19,-12.45,Madagascar,Africa,Madagascar subhumid forests,Afrotropic
Afrius,Afrius flavirostrum,46.45,-15.72,Madagascar,Africa,Madagascar dry deciduous forests,Afrotropic
Afrius,Afrius flavirostrum,49.3,-12.32,Madagascar,Africa,Madagascar dry deciduous forests,Afrotropic
Afrius,Afrius flavirostrum,49.3,-17.38,Madagascar,Africa,Madagascar humid forests,Afrotropic
Afrius,Afrius flavirostrum,49.84,-16.44,Madagascar,Africa,Madagascar humid forests,Afrotropic
Afrius,Afrius flavirostrum,49.36,-18.23,Madagascar,Africa,Madagascar humid forests,Afrotropic
Afrius,Afrius flavirostrum,48.53,-13.88,Madagascar,Africa,Madagascar subhumid forests,Afrotropic
Afrius,Afrius flavirostrum,44.29,-20.29,Madagascar,Africa,Madagascar succulent woodlands,Afrotropic
Afrius,Afrius flavirostrum,49.15,-12.58,Madagascar,Africa,Madagascar subhumid forests,Afrotropic
Afrius,Afrius flavirostrum,48.6036,-12.8994,Madagascar,Africa,Madagascar dry deciduous forests,Afrotropic
Afrius,Afrius flavirostrum,48.43,-18.93,Madagascar,Africa,Madagascar humid forests,Afrotropic
Afrius,Afrius flavirostrum,44.67,-22.78,Madagascar,Africa,Madagascar succulent woodlands,Afrotropic
Afrius,Afrius flavirostrum,50,-13.37,Madagascar,Africa,Madagascar subhumid forests,Afrotropic
Afrius,Afrius flavirostrum,57.49,-20.23,Mauritius,Africa,Mascarene forests,Afrotropic
Afrius,Afrius flavirostrum,57.47,-20.24,Mauritius,Africa,Mascarene forests,Afrotropic
Afrius,Afrius flavirostrum,46.3207,-9.4693,Seychelles,Africa,Aldabra Island xeric scrub,Afrotropic
Afrius,Afrius flavirostrum,48.41,-18.93,Madagascar,Africa,Madagascar humid forests,Afrotropic
Afrius,Afrius kolleri,27.49,-11.68,Democratic Republic of the Congo,Africa,Central Zambezian wet miombo woodlands,Afrotropic
Afrius,Afrius kolleri,21.25,-4.96,Democratic Republic of the Congo,Africa,Southern Congolian forest-savanna,Afrotropic
Afrius,Afrius kolleri,29.26,1.87,Democratic Republic of the Congo,Africa,Northeast Congolian lowland forests,Afrotropic
Afrius,Afrius kolleri,28.56,-5.81,Democratic Republic of the Congo,Africa,Central Zambezian wet miombo woodlands,Afrotropic
Afrius,Afrius kolleri,22.17,-4.37,Democratic Republic of the Congo,Africa,Southern Congolian forest-savanna,Afrotropic
Afrius,Afrius kolleri,22.43,-7.96,Democratic Republic of the Congo,Africa,Southern Congolian forest-savanna,Afrotropic
Afrius,Afrius kolleri,27.2,-8.92,Democratic Republic of the Congo,Africa,Central Zambezian wet miombo woodlands,Afrotropic
Afrius,Afrius kolleri,16.59,-5.74,Democratic Republic of the Congo,Africa,Southern Congolian forest-savanna,Afrotropic
Afrius,Afrius kolleri,32.83,0.35,Uganda,Africa,Victoria Basin forest-savanna,Afrotropic
Afrius,Afrius kolleri,32.51,0.7,Uganda,Africa,Victoria Basin forest-savanna,Afrotropic
Afrius,Afrius kolleri,13.51,-6.58,Angola,Africa,Angolan scarp savanna and woodlands,Afrotropic
Afrius,Afrius kolleri,38,1,Kenya,Africa,Northern Acacia-Commiphora bushlands and thickets,Afrotropic
Afrius,Afrius kolleri,39.5,9,Ethiopia,Africa,Djibouti xeric shrublands,Afrotropic
Afrius,Afrius purpureus,1.66,9,Benin,Africa,West Sudanian savanna,Afrotropic
Afrius,Afrius purpureus,2.08,6.45,Benin,Africa,Guinean forest-savanna,Afrotropic
Afrius,Afrius purpureus,2.59,8.88,Benin,Africa,West Sudanian savanna,Afrotropic
Afrius,Afrius purpureus,10.68,5.57,Cameroon,Africa,Northern Congolian Forest-Savanna,Afrotropic
Afrius,Afrius purpureus,10.05,5.44,Cameroon,Africa,Cameroon Highlands forests,Afrotropic
Afrius,Afrius purpureus,-23.16,15.21,Cabo Verde,Africa,Cape Verde Islands dry forests,Afrotropic
Afrius,Afrius purpureus,-23.13,15.22,Cabo Verde,Africa,Cape Verde Islands dry forests,Afrotropic
Afrius,Afrius purpureus,-23.2121,15.145,Cabo Verde,Africa,Cape Verde Islands dry forests,Afrotropic
Afrius,Afrius purpureus,-23.62,15.08,Cabo Verde,Africa,Cape Verde Islands dry forests,Afrotropic
Afrius,Afrius purpureus,-25.06,17.06,Cabo Verde,Africa,Cape Verde Islands dry forests,Afrotropic
Afrius,Afrius purpureus,-24.29,16.61,Cabo Verde,Africa,Cape Verde Islands dry forests,Afrotropic
Afrius,Afrius purpureus,-24.93,16.87,Cabo Verde,Africa,Cape Verde Islands dry forests,Afrotropic
Afrius,Afrius purpureus,15.59,5.93,Central African Republic,Africa,Northern Congolian Forest-Savanna,Afrotropic
Afrius,Afrius purpureus,16,4.5,Central African Republic,Africa,Northern Congolian Forest-Savanna,Afrotropic
Afrius,Afrius purpureus,16.57,8.67,Chad,Africa,East Sudanian savanna,Afrotropic
Afrius,Afrius purpureus,17.37,9.36,Chad,Africa,East Sudanian savanna,Afrotropic
Afrius,Afrius purpureus,29.71,3.74,Democratic Republic of the Congo,Africa,Northern Congolian Forest-Savanna,Afrotropic
Afrius,Afrius purpureus,30.57,2.57,Democratic Republic of the Congo,Africa,Northern Congolian Forest-Savanna,Afrotropic
Afrius,Afrius purpureus,22.43,-7.96,Democratic Republic of the Congo,Africa,Southern Congolian forest-savanna,Afrotropic
Afrius,Afrius purpureus,17.06,-5.74,Democratic Republic of the Congo,Africa,Southern Congolian forest-savanna,Afrotropic
Afrius,Afrius purpureus,29.52,-6.73,Democratic Republic of the Congo,Africa,Central Zambezian wet miombo woodlands,Afrotropic
Afrius,Afrius purpureus,8.66,3.41,Equatorial Guinea,Africa,Cross-Sanaga-Bioko coastal forests,Afrotropic
Afrius,Afrius purpureus,37.4,4.85,Ethiopia,Africa,Somali Acacia-Commiphora bushlands and thickets,Afrotropic
Afrius,Afrius purpureus,38.83,8,Ethiopia,Africa,Djibouti xeric shrublands,Afrotropic
Afrius,Afrius purpureus,10.24,-0.7,Gabon,Africa,Congolian coastal forests,Afrotropic
Afrius,Afrius purpureus,-1.61,6.73,Ghana,Africa,Eastern Guinean forests,Afrotropic
Afrius,Afrius purpureus,-1.61,6.74,Ghana,Africa,Eastern Guinean forests,Afrotropic
Afrius,Afrius purpureus,18.86,10.4,Chad,Africa,East Sudanian savanna,Afrotropic
Afrius,Afrius purpureus,-15.94,11.46,Guinea-Bissau,Africa,Guinean forest-savanna,Afrotropic
Afrius,Afrius purpureus,-4.13,5.43,Côte d'Ivoire,Africa,Eastern Guinean forests,Afrotropic
Afrius,Afrius purpureus,-3.88,5.35,Côte d'Ivoire,Africa,Eastern Guinean forests,Afrotropic
Afrius,Afrius purpureus,-5.74,6.99,Côte d'Ivoire,Africa,Guinean forest-savanna,Afrotropic
Afrius,Afrius purpureus,-5.03,7.69,Côte d'Ivoire,Africa,Guinean forest-savanna,Afrotropic
Afrius,Afrius purpureus,-5,7.94,Côte d'Ivoire,Africa,Guinean forest-savanna,Afrotropic
Afrius,Afrius purpureus,-3.75,5.22,Côte d'Ivoire,Africa,Eastern Guinean forests,Afrotropic
Afrius,Afrius purpureus,-5.03,6.22,Côte d'Ivoire,Africa,Eastern Guinean forests,Afrotropic
Afrius,Afrius purpureus,37.96,-2.41,Kenya,Africa,Northern Acacia-Commiphora bushlands and thickets,Afrotropic
Afrius,Afrius purpureus,37.51,-2.92,Kenya,Africa,Southern Acacia-Commiphora bushlands and thickets,Afrotropic
Afrius,Afrius purpureus,39.6238,-4.0245,Kenya,Africa,Northern Swahili coastal forests,Afrotropic
Afrius,Afrius purpureus,34.4,0.33,Kenya,Africa,Victoria Basin forest-savanna,Afrotropic
Afrius,Afrius purpureus,36.84,-1.3,Kenya,Africa,Southern Acacia-Commiphora bushlands and thickets,Afrotropic
Afrius,Afrius purpureus,36.11,-0.31,Kenya,Africa,Southern Acacia-Commiphora bushlands and thickets,Afrotropic
Afrius,Afrius purpureus,38.44,-3.4,Kenya,Africa,Northern Acacia-Commiphora bushlands and thickets,Afrotropic
Afrius,Afrius purpureus,-5.73,13.99,Mali,Africa,West Sudanian savanna,Afrotropic
Afrius,Afrius purpureus,-5.95,15.19,Mali,Africa,Sahelian Acacia savanna,Afrotropic
Afrius,Afrius purpureus,36.88,-17.87,Mozambique,Africa,Zambezian coastal flooded savanna,Afrotropic
Afrius,Afrius purpureus,17.5,-21,Namibia,Africa,Kalahari xeric savanna,Afrotropic
Afrius,Afrius purpureus,17.71,-19.23,Namibia,Africa,Angolan mopane woodlands,Afrotropic
Afrius,Afrius purpureus,16.64,-20.46,Namibia,Africa,Kalahari xeric savanna,Afrotropic
Afrius,Afrius purpureus,9.5,8.45,Nigeria,Africa,Guinean forest-savanna,Afrotropic
Afrius,Afrius purpureus,7.5,6.73,Nigeria,Africa,Guinean forest-savanna,Afrotropic
Afrius,Afrius purpureus,3.9,7.37,Nigeria,Africa,Nigerian lowland forests,Afrotropic
Afrius,Afrius purpureus,4.56,7.48,Nigeria,Africa,Nigerian lowland forests,Afrotropic
Afrius,Afrius purpureus,4.54,8.49,Nigeria,Africa,Guinean forest-savanna,Afrotropic
Afrius,Afrius purpureus,8.47,9.58,Nigeria,Africa,Jos Plateau forest-grassland,Afrotropic
Afrius,Afrius purpureus,8.61,12.32,Nigeria,Africa,West Sudanian savanna,Afrotropic
Afrius,Afrius purpureus,6.57,12.56,Nigeria,Africa,West Sudanian savanna,Afrotropic
Afrius,Afrius purpureus,5.33,9.2,Nigeria,Africa,Guinean forest-savanna,Afrotropic
Afrius,Afrius purpureus,7.63,11.16,Nigeria,Africa,West Sudanian savanna,Afrotropic
Afrius,Afrius purpureus,-17.45,14.68,Senegal,Africa,West Sudanian savanna,Afrotropic
Afrius,Afrius purpureus,-16.47,14.78,Senegal,Africa,West Sudanian savanna,Afrotropic
Afrius,Afrius purpureus,-17.42,14.77,Senegal,Africa,West Sudanian savanna,Afrotropic
Afrius,Afrius purpureus,-17.3983,14.667,Senegal,Africa,West Sudanian savanna,Afrotropic
Afrius,Afrius purpureus,-17.13,14.74,Senegal,Africa,West Sudanian savanna,Afrotropic
Afrius,Afrius purpureus,-17.35,14.75,Senegal,Africa,West Sudanian savanna,Afrotropic
Afrius,Afrius purpureus,-16.88,15.13,Senegal,Africa,West Sudanian savanna,Afrotropic
Afrius,Afrius purpureus,-17.06,14.77,Senegal,Africa,West Sudanian savanna,Afrotropic
Afrius,Afrius purpureus,-15.69,16.46,Senegal,Africa,Sahelian Acacia savanna,Afrotropic
Afrius,Afrius purpureus,45.12,2.13,Somalia,Africa,Northern Swahili coastal forests,Afrotropic
Afrius,Afrius purpureus,45.56,2.99,Somalia,Africa,Northern Swahili coastal forests,Afrotropic
Afrius,Afrius purpureus,25.4,-30.25,South Africa,Africa,Highveld grasslands,Afrotropic
Afrius,Afrius purpureus,25.41,-30.24,South Africa,Africa,Highveld grasslands,Afrotropic
Afrius,Afrius purpureus,28.05,-26.21,South Africa,Africa,Highveld grasslands,Afrotropic
Afrius,Afrius purpureus,30.38,-29.6,South Africa,Africa,Drakensberg Escarpment savanna and thicket,Afrotropic
Afrius,Afrius purpureus,31.04,-25.77,South Africa,Africa,Limpopo lowveld,Afrotropic
Afrius,Afrius purpureus,18.42,-34.27,South Africa,Africa,Fynbos shrubland,Afrotropic
Afrius,Afrius purpureus,28.75,-23.97,South Africa,Africa,Central bushveld,Afrotropic
Afrius,Afrius purpureus,28.8,-30.36,South Africa,Africa,Drakensberg grasslands,Afrotropic
Afrius,Afrius purpureus,28.04,-26.2,South Africa,Africa,Highveld grasslands,Afrotropic
Afrius,Afrius purpureus,30,-29.3,South Africa,Africa,Drakensberg grasslands,Afrotropic
Afrius,Afrius purpureus,30.07,-28.84,South Africa,Africa,Drakensberg Escarpment savanna and thicket,Afrotropic
Afrius,Afrius purpureus,27.89,-26.12,South Africa,Africa,Highveld grasslands,Afrotropic
Afrius,Afrius purpureus,17.9,-29.6,South Africa,Africa,Namaqualand-Richtersveld steppe,Afrotropic
Afrius,Afrius purpureus,28.24,-25.73,South Africa,Africa,Central bushveld,Afrotropic
Afrius,Afrius purpureus,32.55,4.64,South Sudan,Africa,East Sudanian savanna,Afrotropic
Afrius,Afrius purpureus,35.54,-3.34,Tanzania,Africa,Southern Acacia-Commiphora bushlands and thickets,Afrotropic
Afrius,Afrius purpureus,39.22,-5.92,Tanzania,Africa,Northern Swahili coastal forests,Afrotropic
Afrius,Afrius purpureus,31.25,-1.91,Tanzania,Africa,Victoria Basin forest-savanna,Afrotropic
Afrius,Afrius purpureus,37.35,-3.07,Tanzania,Africa,East African montane moorlands,Afrotropic
Afrius,Afrius purpureus,34.83,-2.3,Tanzania,Africa,Southern Acacia-Commiphora bushlands and thickets,Afrotropic
Afrius,Afrius purpureus,33.41,-3.56,Tanzania,Africa,Southern Acacia-Commiphora bushlands and thickets,Afrotropic
Afrius,Afrius purpureus,38.5,-4.75,Tanzania,Africa,Northern Acacia-Commiphora bushlands and thickets,Afrotropic
Afrius,Afrius purpureus,37.25,-7.9167,Tanzania,Africa,Dry miombo woodlands,Afrotropic
Afrius,Afrius purpureus,1.13,7.53,Togo,Africa,Guinean forest-savanna,Afrotropic
Afrius,Afrius purpureus,34.18,1.08,Uganda,Africa,East African montane forests,Afrotropic
Afrius,Afrius purpureus,32.46,0.05,Uganda,Africa,Victoria Basin forest-savanna,Afrotropic
Afrius,Afrius purpureus,33.2,1.51,Uganda,Africa,Victoria Basin forest-savanna,Afrotropic
Afrius,Afrius purpureus,32.58,0.34,Uganda,Africa,Victoria Basin forest-savanna,Afrotropic
Afrius,Afrius purpureus,31.63,0.46,Uganda,Africa,Victoria Basin forest-savanna,Afrotropic
Afrius,Afrius purpureus,34.18,1.96,Uganda,Africa,East Sudanian savanna,Afrotropic
Afrius,Afrius purpureus,43.28,13.56,Yemen,Asia,Southwest Arabian coastal xeric shrublands,Afrotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-86.51,15.73,Honduras,North America,Central American Atlantic moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-87.65,14.46,Honduras,North America,Central American dry forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-87.91,15.33,Honduras,North America,Central American dry forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-52.26,4.91,French Guiana,South America,Amazon-Orinoco-Southern Caribbean mangroves,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-105.74,32.61,United States,North America,Arizona Mountains forests,Nearctic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-103.48,34.02,United States,North America,Western shortgrass prairie,Nearctic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-58.56,-34.92,Argentina,South America,Humid Pampas,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-57.95,-34.92,Argentina,South America,Humid Pampas,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-68.76,-28.66,Argentina,South America,High Monte,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-58.02,-31.39,Argentina,South America,Espinal,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-55.8,-27.47,Argentina,South America,Southern Cone Mesopotamian savanna,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-60.71,-31.56,Argentina,South America,Espinal,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-63.39,-29.07,Argentina,South America,Dry Chaco,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-62.99,-17.75,Bolivia,South America,Chiquitano dry forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-53,-4,Brazil,South America,Tapajós-Xingu moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-40.75,-20,Brazil,South America,Bahia coastal forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-57.43,-23.39,Paraguay,South America,Humid Chaco,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-57.59,-25.36,Paraguay,South America,Humid Chaco,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-54.52,-32.49,Uruguay,South America,Uruguayan savanna,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-54.6,-24.19,Paraguay,South America,Alto Paraná Atlantic forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-57.14,-25.38,Paraguay,South America,Humid Chaco,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-54.59,-25.66,Paraguay,South America,Alto Paraná Atlantic forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-56.51,-23.46,Paraguay,South America,Alto Paraná Atlantic forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-56.66,-24.13,Paraguay,South America,Alto Paraná Atlantic forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-47.64,-22.72,Brazil,South America,Alto Paraná Atlantic forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-53.6,-28.64,Brazil,South America,Uruguayan savanna,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-54.03,3.64,French Guiana,South America,Guianan lowland moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-52.12,4.31,French Guiana,South America,Guianan lowland moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-52.4,4.71,French Guiana,South America,Guianan lowland moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-52.32,4.72,French Guiana,South America,Guianan lowland moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-53.2,3.62,French Guiana,South America,Guianan lowland moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-96.8,18.93,México,North America,Petén-Veracruz moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-96.89,19.98,México,North America,Veracruz moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-96.91,19.53,México,North America,Veracruz moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-101,25.42,México,North America,Chihuahuan desert,Nearctic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-99.07,22.96,México,North America,Veracruz moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-99.01,21.99,México,North America,Veracruz moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-103.39,20.66,México,North America,Bajío dry forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-105.07,19.52,México,North America,Jalisco dry forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-101.86,19.49,México,North America,Trans-Mexican Volcanic Belt pine-oak forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-101.87,18.88,México,North America,Balsas dry forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-96.78,19.59,México,North America,Veracruz moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-97,18.9,México,North America,Petén-Veracruz moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-95.21,18.44,México,North America,Sierra de los Tuxtlas,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-99.45,18.3,México,North America,Balsas dry forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-99.23,18.92,México,North America,Balsas dry forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-99.12,18.85,México,North America,Balsas dry forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-93.49,16.78,México,North America,Chiapas Depression dry forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-91.89,17.5,México,North America,Petén-Veracruz moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-92.44,36.64,United States,North America,Ozark Highlands mixed forests,Nearctic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-92.43,34.9,United States,North America,Ozark Mountain forests,Nearctic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-71.92,9,Venezuela,South America,Catatumbo moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-67.16,10,Venezuela,South America,La Costa xeric shrublands,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-95,18.47,México,North America,Sierra de los Tuxtlas,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-90.87,-0.67,Ecuador,South America,Galápagos Islands xeric scrub,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-67.4,10.35,Venezuela,South America,Cordillera La Costa montane forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-51.16,-23.31,Brazil,South America,Alto Paraná Atlantic forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-53.6,-30.15,Brazil,South America,Uruguayan savanna,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-48.75,-2.87,Brazil,South America,Tocantins/Pindare moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-42.8,-5.08,Brazil,South America,Maranhão Babaçu forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-43.65,-19.87,Brazil,South America,Bahia interior forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-69.76,9.89,Venezuela,South America,Paraguaná xeric scrub,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-53.81,-29.68,Brazil,South America,Alto Paraná Atlantic forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-50.04,-29.8,Brazil,South America,Atlantic Coast restingas,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-71.96,-13.53,Peru,South America,Central Andean wet puna,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-53.49,-26.45,Brazil,South America,Araucaria moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-42.72,-17.28,Brazil,South America,Cerrado,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-39.84,-14.28,Brazil,South America,Bahia interior forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-56,-28.65,Brazil,South America,Uruguayan savanna,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-47.37,-21.02,Brazil,South America,Cerrado,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-52.79,-28.29,Brazil,South America,Uruguayan savanna,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-46.42,-18.41,Brazil,South America,Cerrado,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-90.43,-1.31,Ecuador,South America,Galápagos Islands xeric scrub,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-44.28,-2.53,Brazil,South America,Maranhão Babaçu forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-49.72,-29.33,Brazil,South America,Atlantic Coast restingas,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-50.09,-29.9,Brazil,South America,Atlantic Coast restingas,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-52.33,-31.76,Brazil,South America,Uruguayan savanna,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-44.62,-23.33,Brazil,South America,Serra do Mar coastal forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-41.71,-4.09,Brazil,South America,Maranhão Babaçu forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-45.4,-23.8,Brazil,South America,Serra do Mar coastal forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-82.85,29.96,United States,North America,Southeast US conifer savannas,Nearctic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-80.22,25.78,United States,North America,Everglades flooded grasslands,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-46.63,-23.54,Brazil,South America,Serra do Mar coastal forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-59.02,-27.42,Argentina,South America,Humid Chaco,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-81.35,27.18,United States,North America,Southeast US conifer savannas,Nearctic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-58.41,-5.15,Brazil,South America,Madeira-Tapajós moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-58.13,-4.35,Brazil,South America,Madeira-Tapajós moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-57.02,-1.53,Brazil,South America,Uatumã-Trombetas moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-61.33,-1.38,Brazil,South America,Uatumã-Trombetas moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-59.28,-10.25,Brazil,South America,Madeira-Tapajós moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-61.49,-1.57,Brazil,South America,Japurá-Solimões-Negro moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-57.2278,-15.3239,Brazil,South America,Chiquitano dry forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-58.46,-15.85,Brazil,South America,Cerrado,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-42.53,-19.64,Brazil,South America,Bahia interior forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-51.98,-23.91,Brazil,South America,Alto Paraná Atlantic forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-49.24,-26.43,Brazil,South America,Araucaria moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-40.06,-19.39,Brazil,South America,Bahia coastal forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-50.23,-30.24,Brazil,South America,Atlantic Coast restingas,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-56.26,-25.8,Paraguay,South America,Alto Paraná Atlantic forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-46.7909,-23.5331,Brazil,South America,Serra do Mar coastal forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-59.0678,-15.2895,Brazil,South America,Chiquitano dry forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-46.3385,-23.9583,Brazil,South America,Serra do Mar coastal forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-37.9464,-7.016,Brazil,South America,Caatinga,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus grandis,-48.462,-14.4721,Brazil,South America,Cerrado,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus phymatophorus,-74.57,20.35,Cuba,North America,Cuban moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus phymatophorus,-66.49,18.24,Puerto Rico,North America,Puerto Rican moist forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus phymatophorus,-70.73,18.45,Dominican Republic,North America,Hispaniolan dry forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus phymatophorus,-71.63,17.9,Dominican Republic,North America,Hispaniolan dry forests,Neotropic
Alcaeorrhynchus,Alcaeorrhynchus phymatophorus,-68.4,18.58,Dominican Republic,North America,Hispaniolan moist forests,Neotropic
Amyotea,Amyotea erythromela,127.5,-0.58,Indonesia,Asia,Halmahera rain forests,Australasia
Amyotea,Amyotea erythromela,127.85,0.6,Indonesia,Asia,Halmahera rain forests,Australasia
